Typical Measured Spectrum of Semrock BLP01-532R Optical Filter	
For wavelengths between 320 and 1120 nm, values near or below 3e-7 (Optical Density 6.5) are measurement noise limited.
For wavelengths < 320 nm and > 1120 nm, values near or below 3e-6 (Optical Density 5.5) are measurement noise limited. 
Data format:  Wavelength (nm) <tab> Transmission (0 to 1)
389.4	6.2831e-06
389.6	6.2344e-06
389.8	6.186e-06
390.0	6.138e-06
390.2	6.0903e-06
390.4	6.0431e-06
390.6	5.9875e-06
390.8	5.9275e-06
391.0	5.868e-06
391.2	5.8092e-06
391.4	5.751e-06
391.6	5.6933e-06
391.8	5.6362e-06
392.0	5.5797e-06
392.2	5.5238e-06
392.4	5.4684e-06
392.6	5.4136e-06
392.8	5.3593e-06
393.0	5.3055e-06
393.2	5.2524e-06
393.4	5.1997e-06
393.6	5.1348e-06
393.8	5.0506e-06
394.0	4.9678e-06
394.2	4.8864e-06
394.4	4.8063e-06
394.6	4.7275e-06
394.8	4.65e-06
395.0	4.5738e-06
395.2	4.4988e-06
395.4	4.425e-06
395.6	4.3525e-06
395.8	4.2812e-06
396.0	4.211e-06
396.2	4.1419e-06
396.4	4.0741e-06
396.6	4.0125e-06
396.8	3.9828e-06
397.0	3.9532e-06
397.2	3.9239e-06
397.4	3.8948e-06
397.6	3.8659e-06
397.8	3.8372e-06
398.0	3.8088e-06
398.2	3.7805e-06
398.4	3.7525e-06
398.6	3.7246e-06
398.8	3.697e-06
399.0	3.6696e-06
399.2	3.6423e-06
399.4	3.6153e-06
399.6	3.5885e-06
399.8	3.5661e-06
400.0	3.5443e-06
400.2	3.5226e-06
400.4	3.501e-06
400.6	3.4796e-06
400.8	3.4583e-06
401.0	3.4371e-06
401.2	3.416e-06
401.4	3.3951e-06
401.6	3.3743e-06
401.8	3.3537e-06
402.0	3.3331e-06
402.2	3.3127e-06
402.4	3.2924e-06
402.6	3.2723e-06
402.8	3.2369e-06
403.0	3.1947e-06
403.2	3.1531e-06
403.4	3.112e-06
403.6	3.0714e-06
403.8	3.0314e-06
404.0	2.9919e-06
404.2	2.953e-06
404.4	2.9145e-06
404.6	2.8765e-06
404.8	2.839e-06
405.0	2.802e-06
405.2	2.7655e-06
405.4	2.7295e-06
405.6	2.6939e-06
405.8	2.6672e-06
406.0	2.6507e-06
406.2	2.6343e-06
406.4	2.618e-06
406.6	2.6018e-06
406.8	2.5857e-06
407.0	2.5697e-06
407.2	2.5538e-06
407.4	2.5379e-06
407.6	2.5222e-06
407.8	2.5066e-06
408.0	2.4911e-06
408.2	2.4757e-06
408.4	2.4604e-06
408.6	2.4451e-06
408.8	2.4271e-06
